filepath,Label
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-noTr_0000.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-noTr_0001.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-noTr_0002.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-noTr_0003.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-noTr_0004.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-noTr_0005.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-noTr_0006.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-noTr_0007.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-noTr_0008.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-noTr_0009.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0010.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0011.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0012.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0013.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0014.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0015.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0016.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0017.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0018.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0019.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0020.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0021.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0022.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0023.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0024.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0025.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0026.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0027.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0028.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0029.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0030.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0031.jpg,No
C:/Users/Lenovo/Documents/MyProjects/Machine learning/Brain Tumor Detection/dataset/Testing/notumor\Te-no_0032.jpg,No
